City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
497,obala,4.1667,11.5333,309.63,36,95,0.46,CM,1710073656
498,banda aceh,5.5577,95.3222,300.62,79,94,4.2,ID,1710073656
499,samara,53.0,50.0,269.59,84,96,3.03,RU,1710073656
500,laguna,38.421,-121.4238,283.23,90,100,2.57,US,1710073656
501,jackson,42.4165,-122.8345,280.08,77,100,0.0,US,1710073414
502,sao martinho,39.5144,-9.1311,289.2,67,19,6.71,PT,1710073656
503,jesus maria,-30.9815,-64.0942,300.65,92,91,1.88,AR,1710073657
504,varna,43.2167,27.9167,284.23,62,40,7.72,BG,1710073657
505,chegdomyn,51.1167,133.0167,260.39,97,100,0.98,RU,1710073657
506,majene,-3.5403,118.9707,298.22,87,100,3.47,ID,1710073657
507,san luis,-33.295,-66.3356,295.96,79,38,2.66,AR,1710073425
508,saint-philippe,-21.3585,55.7679,301.92,77,23,6.69,RE,1710073657
509,ust-tsilma,65.441,52.1498,256.27,91,100,0.89,RU,1710073657
510,khairagarh,26.95,77.8167,300.2,15,10,2.62,IN,1710073657
511,lammi,61.0833,25.0167,276.28,86,100,1.92,FI,1710073657
512,malango,-2.9627,119.9001,293.59,98,100,1.06,ID,1710073657
513,motueka,-41.1333,173.0167,286.37,50,100,3.14,NZ,1710073658
514,sen monorom,12.45,107.2,298.45,56,92,3.09,KH,1710073658
515,shajapur,23.4333,76.2667,305.48,15,25,6.18,IN,1710073658
516,rio grande,-32.035,-52.0986,298.21,74,2,4.94,BR,1710073658
517,petauke,-14.2426,31.3253,300.7,59,44,2.51,ZM,1710073658
518,yuzhno-kurilsk,44.0306,145.8556,269.47,59,62,3.54,RU,1710073658
519,port hedland,-20.3167,118.5667,303.18,79,69,3.6,AU,1710073658
520,kolonia,50.9333,6.95,289.73,47,0,3.6,DE,1710073658
521,arica,-18.475,-70.3042,295.9,68,100,0.51,CL,1710073515
522,shingu,33.7333,135.9833,276.36,62,0,3.0,JP,1710073658
523,el nido,11.1858,119.3956,299.5,80,62,3.86,PH,1710073658
524,fuling,29.7022,107.3919,284.76,79,100,0.52,CN,1710073658
525,zaxo,37.1482,42.7001,286.01,60,25,1.78,IQ,1710073658
526,edd,13.9297,41.6925,302.22,58,49,5.46,ER,1710073658
527,vavatenina,-17.4667,49.2,303.92,46,94,2.98,MG,1710073659
528,salmon arm,50.6998,-119.3024,276.17,86,89,1.03,CA,1710073659
529,tejen,37.3834,60.5054,292.04,44,35,2.85,TM,1710073659
530,cova figueira,14.8905,-24.2934,292.79,72,46,6.86,CV,1710073659
531,tsiombe,-25.3,45.4833,305.98,52,92,3.57,MG,1710073659
532,sept-iles,50.2001,-66.3821,272.39,89,100,7.2,CA,1710073534
533,tezu,27.9167,96.1667,294.41,45,0,1.63,IN,1710073659
534,sungai penuh,-2.0833,101.3833,292.61,98,92,0.53,ID,1710073659
535,guerrero negro,27.9769,-114.0611,287.75,58,0,2.75,MX,1710073632
536,fortuna,40.5982,-124.1573,284.46,72,100,10.29,US,1710073659
537,kutum,14.2,24.6667,306.77,6,58,3.96,SD,1710073659
538,basni,27.1667,73.65,302.17,17,83,3.72,IN,1710073660
539,kavaratti,10.5669,72.642,301.73,65,19,2.48,IN,1710073660
540,churapcha,62.0025,132.4325,249.11,100,100,1.42,RU,1710073660
541,volodarskiy,46.4013,48.5409,279.12,36,49,4.12,RU,1710073660
542,coxen hole,16.3244,-86.5366,299.75,83,40,2.57,HN,1710073660
543,trairi,-3.2778,-39.2689,301.29,81,77,2.05,BR,1710073458
544,kampong thom,12.7111,104.8887,306.32,37,99,0.9,KH,1710073660
545,zharkent,44.1628,80.0,283.14,40,82,2.12,KZ,1710073660
546,sisimiut,66.9395,-53.6735,252.85,82,21,4.24,GL,1710073660
547,la ronge,55.1001,-105.2842,270.29,80,75,4.63,CA,1710073660
548,posto fiscal rolim de moura,-13.0833,-62.2667,300.75,75,91,1.0,BR,1710073660
549,tidjikja,18.5564,-11.4271,300.97,11,95,7.08,MR,1710073660
550,forster,-32.1667,152.5167,292.8,95,6,2.95,AU,1710073660
551,dunedin,-45.8742,170.5036,290.68,49,100,1.68,NZ,1710073660
552,floro,61.5996,5.0328,279.13,42,0,5.14,NO,1710073661
553,oliver,49.1831,-119.5524,278.95,70,96,4.63,CA,1710073661
554,am timan,11.0297,20.2827,313.98,5,16,3.56,TD,1710073661
555,la asuncion,11.0333,-63.8628,299.0,94,66,7.2,VE,1710073661
556,amga,60.8953,131.9608,255.29,100,99,1.23,RU,1710073661
557,new plymouth,-39.0667,174.0833,290.27,78,84,3.94,NZ,1710073661
558,bargaal,11.2864,51.0773,302.68,60,63,4.7,SO,1710073661
559,rabigh,22.7986,39.0349,300.8,46,9,5.26,SA,1710073661
560,zimovniki,47.1483,42.4633,278.49,56,95,4.87,RU,1710073661
561,san ignacio de velasco,-16.3667,-60.95,300.0,73,96,2.75,BO,1710073661
562,severnoye,56.3491,78.3619,270.36,96,100,3.58,RU,1710073661
563,sabha,27.0377,14.4283,300.84,14,0,4.56,LY,1710073661
564,mata-utu,-13.2816,-176.1745,302.48,75,81,4.98,WF,1710073661
